workshop_id,name,city,address,phone,specialties,rating,available_slots,capacity_per_day,average_wait_days
WS-001,TorqCare Service Center San Francisco,San Francisco,9561 Main Street,+1-549-632-8562,"Brake, Motor, Suspension",3.7,"{'2025-12-12': ['08:00', '12:00', '16:00'], '2025-12-13': ['08:00', '10:00', '12:00', '14:00', '16:00'], '2025-12-14': ['08:00', '12:00', '14:00', '16:00'], '2025-12-15': ['10:00', '12:00', '16:00'], '2025-12-16': ['08:00', '10:00', '12:00', '14:00', '16:00'], '2025-12-17': ['08:00', '10:00', '14:00'], '2025-12-18': ['08:00', '14:00']}",7,5
WS-002,TorqCare Service Center Los Angeles,Los Angeles,4374 Main Street,+1-926-193-8430,"Motor, Battery, Brake",3.9,"{'2025-12-12': ['08:00', '10:00', '14:00'], '2025-12-13': ['10:00', '12:00', '14:00', '16:00'], '2025-12-14': ['08:00', '12:00', '14:00', '16:00'], '2025-12-15': ['10:00', '12:00', '16:00'], '2025-12-16': ['08:00', '12:00', '14:00', '16:00'], '2025-12-17': ['10:00', '12:00', '16:00'], '2025-12-18': ['10:00', '14:00']}",10,5
WS-003,TorqCare Service Center New York,New York,5621 Main Street,+1-737-255-2782,"Battery, Diagnostics, Suspension",3.7,"{'2025-12-12': ['08:00', '10:00', '14:00', '16:00'], '2025-12-13': ['10:00', '14:00', '16:00'], '2025-12-14': ['08:00', '10:00', '12:00', '14:00'], '2025-12-15': ['10:00', '12:00', '14:00'], '2025-12-16': ['08:00', '10:00', '12:00', '16:00'], '2025-12-17': ['08:00', '10:00', '14:00'], '2025-12-18': ['08:00', '10:00', '14:00', '16:00']}",11,3
WS-004,TorqCare Service Center Chicago,Chicago,7791 Main Street,+1-221-361-2782,"Diagnostics, Suspension, Battery",4.6,"{'2025-12-12': ['14:00'], '2025-12-13': ['08:00', '10:00', '14:00'], '2025-12-14': ['08:00', '10:00', '12:00', '14:00'], '2025-12-15': ['08:00', '10:00', '12:00', '14:00', '16:00'], '2025-12-16': ['08:00', '14:00', '16:00'], '2025-12-17': ['08:00', '10:00', '12:00', '14:00', '16:00'], '2025-12-18': ['08:00', '10:00', '12:00', '14:00', '16:00']}",13,4
WS-005,TorqCare Service Center Houston,Houston,8237 Main Street,+1-726-680-1599,"Brake, Suspension, Battery",4.9,"{'2025-12-12': ['08:00', '10:00', '14:00'], '2025-12-13': ['14:00'], '2025-12-14': ['08:00', '12:00', '14:00'], '2025-12-15': ['08:00', '10:00', '12:00', '16:00'], '2025-12-16': ['08:00', '12:00', '14:00'], '2025-12-17': ['08:00', '10:00', '14:00'], '2025-12-18': ['10:00', '12:00', '14:00', '16:00']}",15,3
WS-006,TorqCare Service Center Phoenix,Phoenix,1882 Main Street,+1-456-549-3952,"Motor, Battery, Suspension",4.1,"{'2025-12-12': ['08:00', '12:00', '14:00'], '2025-12-13': ['10:00', '12:00', '14:00', '16:00'], '2025-12-14': ['14:00', '16:00'], '2025-12-15': ['08:00', '10:00', '12:00', '14:00'], '2025-12-16': ['08:00', '12:00', '14:00'], '2025-12-17': ['08:00', '12:00', '14:00'], '2025-12-18': ['08:00', '14:00']}",5,1
WS-007,TorqCare Service Center Philadelphia,Philadelphia,219 Main Street,+1-725-357-6134,"Suspension, Diagnostics, Battery",4.3,"{'2025-12-12': ['10:00', '16:00'], '2025-12-13': ['08:00', '10:00', '12:00', '14:00', '16:00'], '2025-12-14': ['12:00', '16:00'], '2025-12-15': ['10:00', '12:00', '14:00'], '2025-12-16': ['10:00', '16:00'], '2025-12-17': ['08:00', '16:00'], '2025-12-18': ['10:00', '14:00', '16:00']}",10,1
WS-008,TorqCare Service Center San Antonio,San Antonio,7470 Main Street,+1-774-733-5816,"Battery, Brake, Motor",4.3,"{'2025-12-12': ['10:00', '12:00', '16:00'], '2025-12-13': ['10:00', '12:00', '14:00', '16:00'], '2025-12-14': ['08:00', '10:00', '16:00'], '2025-12-15': ['12:00', '14:00', '16:00'], '2025-12-16': ['08:00', '10:00', '12:00', '14:00'], '2025-12-17': ['08:00', '12:00', '14:00', '16:00'], '2025-12-18': ['08:00', '10:00']}",13,1
WS-009,TorqCare Service Center San Diego,San Diego,6042 Main Street,+1-217-727-2636,"Battery, Diagnostics, Motor",5.0,"{'2025-12-12': ['08:00', '10:00', '12:00', '16:00'], '2025-12-13': ['08:00', '12:00', '14:00'], '2025-12-14': ['08:00', '12:00', '14:00', '16:00'], '2025-12-15': ['08:00', '10:00', '12:00', '16:00'], '2025-12-16': ['12:00', '14:00', '16:00'], '2025-12-17': ['12:00', '14:00', '16:00'], '2025-12-18': ['08:00', '10:00', '14:00']}",7,4
WS-010,TorqCare Service Center Dallas,Dallas,1574 Main Street,+1-728-350-2336,"Suspension, Battery, Diagnostics",4.3,"{'2025-12-12': ['10:00', '12:00', '14:00'], '2025-12-13': ['08:00', '12:00', '14:00'], '2025-12-14': ['08:00', '12:00', '16:00'], '2025-12-15': ['08:00', '12:00', '14:00', '16:00'], '2025-12-16': ['10:00', '14:00'], '2025-12-17': ['08:00', '12:00', '16:00'], '2025-12-18': ['08:00', '10:00', '12:00', '14:00']}",11,5
